INFO 2025-09-17 02:13:19,818 autoreload 4088 3784 Watching for file changes with StatReloader
INFO 2025-09-17 02:15:04,362 basehttp 4088 9936 "GET /api/clubs/?all=1&_ts=1758053704339 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:04,369 basehttp 4088 3988 "GET /api/matches/?params%5B_ts%5D=1758053704339 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:04,370 basehttp 4088 9704 "GET /api/matches/?params%5B_ts%5D=1758053704337 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:04,370 basehttp 4088 10232 "GET /api/clubs/?all=1&_ts=1758053704336 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:04,386 basehttp 4088 3988 "OPTIONS /api/clubs/table/?_ts=1758053704383&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:04,391 basehttp 4088 3988 "GET /api/clubs/table/?_ts=1758053704383&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:15:05,571 basehttp 4088 9936 "OPTIONS /api/clubs/?all=1&_ts=1758053705561 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:05,571 basehttp 4088 3988 "OPTIONS /api/clubs/table/?_ts=1758053705561&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:05,575 basehttp 4088 9704 "OPTIONS /api/clubs/?all=1&_ts=1758053705562 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:05,576 basehttp 4088 3988 "OPTIONS /api/clubs/table/?_ts=1758053705562&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:05,585 basehttp 4088 10232 "GET /api/clubs/?all=1&_ts=1758053705561 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:05,587 basehttp 4088 9936 "GET /api/clubs/table/?_ts=1758053705561&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:15:05,587 basehttp 4088 9704 "GET /api/clubs/?all=1&_ts=1758053705562 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:05,590 basehttp 4088 3988 "GET /api/clubs/table/?_ts=1758053705562&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:15:06,563 basehttp 4088 10232 "OPTIONS /api/players/?_ts=1758053706552 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:06,563 basehttp 4088 3988 "OPTIONS /api/players/?_ts=1758053706552 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:06,572 basehttp 4088 9936 "GET /api/players/?_ts=1758053706552 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:06,573 basehttp 4088 3988 "GET /api/players/?_ts=1758053706552 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:07,427 basehttp 4088 3988 "OPTIONS /api/matches/?params%5B_ts%5D=1758053707422 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:07,429 basehttp 4088 3988 "OPTIONS /api/matches/?params%5B_ts%5D=1758053707423 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:07,435 basehttp 4088 9704 "GET /api/matches/?params%5B_ts%5D=1758053707423 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:07,437 basehttp 4088 3988 "GET /api/matches/?params%5B_ts%5D=1758053707422 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:08,229 basehttp 4088 9936 "OPTIONS /api/players/transfers/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:08,230 basehttp 4088 3988 "OPTIONS /api/players/transfers/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:08,230 basehttp 4088 9704 "OPTIONS /api/seasons/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:08,230 basehttp 4088 10232 "OPTIONS /api/seasons/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:08,242 basehttp 4088 9936 "GET /api/players/transfers/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:08,246 basehttp 4088 3988 "GET /api/players/transfers/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:08,249 basehttp 4088 10232 "GET /api/seasons/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 265
INFO 2025-09-17 02:15:08,250 basehttp 4088 9704 "GET /api/seasons/?params%5B_ts%5D=1758053708211 HTTP/1.1" 200 265
INFO 2025-09-17 02:17:40,882 basehttp 4088 9588 "OPTIONS /api/clubs/table/?_ts=1758053860872&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:17:40,884 basehttp 4088 6672 "OPTIONS /api/clubs/?all=1&_ts=1758053860872 HTTP/1.1" 200 0
INFO 2025-09-17 02:17:40,908 basehttp 4088 9588 "OPTIONS /api/clubs/table/?_ts=1758053860873&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:17:40,908 basehttp 4088 2128 "OPTIONS /api/clubs/?all=1&_ts=1758053860873 HTTP/1.1" 200 0
INFO 2025-09-17 02:17:40,915 basehttp 4088 8408 "GET /api/clubs/table/?_ts=1758053860872&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:17:40,916 basehttp 4088 6672 "GET /api/clubs/?all=1&_ts=1758053860872 HTTP/1.1" 200 52
INFO 2025-09-17 02:17:40,918 basehttp 4088 2128 "GET /api/clubs/?all=1&_ts=1758053860873 HTTP/1.1" 200 52
INFO 2025-09-17 02:17:40,919 basehttp 4088 9588 "GET /api/clubs/table/?_ts=1758053860873&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:18:12,958 basehttp 4088 6672 "OPTIONS /api/clubs/ HTTP/1.1" 200 0
INFO 2025-09-17 02:18:12,984 basehttp 4088 2128 "POST /api/clubs/ HTTP/1.1" 201 669
INFO 2025-09-17 02:18:12,991 basehttp 4088 6672 "OPTIONS /api/clubs/?all=1&_ts=1758053892988 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:12,992 basehttp 4088 2128 "OPTIONS /api/clubs/?all=1&_ts=1758053892987 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:12,992 basehttp 4088 9588 "OPTIONS /api/clubs/table/?_ts=1758053892988&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:13,006 basehttp 4088 2128 "GET /api/clubs/?all=1&_ts=1758053892988 HTTP/1.1" 200 625
